"age_settled","group","why_settle_cats","settle_where_why_cat","want_settle","want_settle_why_cat","nomad_relative_need","settled_relative_need","nomad_support","change_support","nomad_respect_settled","nomad_respect_others","nomad_conflicts","settled_conflicts","advnom_cat","advset_cat","go_back","nomad_freedom","settled_freedom"
NA,"full-time nomad",NA,NA,"no","hard to integrate; don't know how to make a living in village","same",NA,"rarely",NA,"always","always","never",NA,"livestock","comfort and reduced physical effort; safety and protection from elements",NA,"often",NA
NA,"full-time nomad",NA,NA,"yes","physically tired; access to infrastructure","same",NA,"never",NA,"always","always","never",NA,"freedom and autonomy; conditional satisfaction","comfort and reduced physical effort",NA,"rarely",NA
NA,"full-time nomad",NA,NA,"no","cannot afford settling","same",NA,"never",NA,"always","always","never",NA,"atmosphere and environment; freedom and autonomy; peace of mind","comfort and reduced physical effort",NA,"often",NA
NA,"full-time nomad",NA,NA,"yes","livestock decreasing due to drought","same",NA,"rarely",NA,"always","always","never",NA,"freedom and autonomy","infrastructure; comfort and reduced physical effort; education; services and markets",NA,"often",NA
NA,"full-time nomad",NA,NA,"yes","physically tired","same",NA,"never",NA,"always","always","never",NA,"freedom and autonomy; conditional satisfaction","comfort and reduced physical effort",NA,"often",NA
NA,"full-time nomad",NA,NA,"yes","livestock decreasing due to drought","same",NA,"never",NA,"always","always","never",NA,"peace of mind","infrastructure; comfort and reduced physical effort",NA,"often",NA
NA,"full-time nomad",NA,NA,"yes","physically tired","more",NA,"never",NA,"always","always","never",NA,"livestock","services and markets",NA,"never",NA
NA,"full-time nomad",NA,NA,"yes","protection from the elements; access to infrastructure; children's schooling","same",NA,"rarely",NA,"always","always","never",NA,"peace of mind","religion; sanitation and cleanliness",NA,"rarely",NA
NA,"full-time nomad",NA,NA,"yes","livestock decreasing due to drought; children's schooling","more",NA,"never",NA,"always","always","never",NA,"livestock","education",NA,"rarely",NA
NA,"full-time nomad",NA,NA,"yes","physically tired; protection from the elements","same",NA,"rarely",NA,"always","always","never",NA,"peace of mind","comfort and reduced physical effort",NA,"often",NA
NA,"full-time nomad",NA,NA,"no","hard to integrate; don't know how to make a living in village","more",NA,"often",NA,"never","always","often",NA,"freedom and autonomy; conditional satisfaction","comfort and reduced physical effort",NA,"rarely",NA
NA,"full-time nomad",NA,NA,"yes","physically tired; protection from the elements","more",NA,"never",NA,"always","always","never",NA,"nothing","infrastructure; comfort and reduced physical effort",NA,"rarely",NA
NA,"full-time nomad",NA,NA,"yes","physically tired","more",NA,"never",NA,"always","always","never",NA,"nothing","infrastructure; comfort and reduced physical effort; education",NA,"often",NA
NA,"full-time nomad",NA,NA,"yes","protection from the elements","more",NA,"often",NA,"always","often","never",NA,"nothing","education",NA,"often",NA
NA,"full-time nomad",NA,NA,"yes","physically tired; protection from the elements","more",NA,"often",NA,"often","often","never",NA,"livestock; food and traditions","safety and protection from elements; education",NA,"often",NA
NA,"full-time nomad",NA,NA,"no","attached to nomadic lifestyle and herd","same",NA,"often",NA,"rarely","never","never",NA,"livestock","education; services and markets",NA,"often",NA
NA,"full-time nomad",NA,NA,"no","cannot afford settling","same",NA,"never",NA,"always","always","never",NA,"freedom and autonomy; livestock","comfort and reduced physical effort; safety and protection from elements; services and markets",NA,"always",NA
NA,"full-time nomad",NA,NA,"yes","livestock decreasing due to drought","same",NA,"always",NA,"rarely","always","never",NA,"peace of mind","comfort and reduced physical effort; education",NA,"always",NA
NA,"full-time nomad",NA,NA,"no","attached to nomadic lifestyle and herd","same",NA,"never",NA,"always","always","never",NA,"freedom and autonomy; conditional satisfaction","education",NA,"always",NA
NA,"full-time nomad",NA,NA,"yes","physically tired; livestock decreasing due to drought","less",NA,"never",NA,"often","often","never",NA,"freedom and autonomy; conditional satisfaction","education; services and markets",NA,"often",NA
NA,"full-time nomad",NA,NA,"yes","livestock decreasing due to drought","more",NA,"rarely",NA,"rarely","always","often",NA,"freedom and autonomy; attachment and identity","education",NA,"often",NA
NA,"full-time nomad",NA,NA,"no","attached to nomadic lifestyle and herd","same",NA,"always",NA,"always","always","never",NA,"attachment and identity","comfort and reduced physical effort; safety and protection from elements",NA,"always",NA
NA,"full-time nomad",NA,NA,"yes","physically tired","same",NA,"never",NA,"always","always","never",NA,"freedom and autonomy; livestock","comfort and reduced physical effort",NA,"always",NA
NA,"full-time nomad",NA,NA,"yes","livestock decreasing due to drought","more",NA,"always",NA,"always","always","never",NA,"nothing","comfort and reduced physical effort",NA,"always",NA
NA,"full-time nomad",NA,NA,"no","attached to nomadic lifestyle and herd","same",NA,"rarely",NA,"often","always","never",NA,"freedom and autonomy","comfort and reduced physical effort",NA,"always",NA
NA,"full-time nomad",NA,NA,"yes","physically tired","same",NA,"never",NA,"always","always","never",NA,"peace of mind","safety and protection from elements; education; services and markets",NA,"always",NA
NA,"full-time nomad",NA,NA,"no","attached to nomadic lifestyle and herd","less",NA,"rarely",NA,"always","rarely","never",NA,"atmosphere and environment; freedom and autonomy; peace of mind","services and markets",NA,"always",NA
